snp_rsid,characteristic_name,effect_direction,evidence_strength
"rs1805007","Melanin Production","Modulates","Strong"
"rs1805007","UV Sensitivity","Modulates","Strong"
"rs2228479","Melanin Production","Modulates","Strong"
"rs2228479","UV Sensitivity","Modulates","Strong"
"rs1126809","Melanin Production","Modulates","Strong"
"rs16891982","Melanin Production","Modulates","Strong"
"rs61816761","Barrier Function","Decreases","Strong"
"rs61816761","Hydration Level","Decreases","Strong"
"rs1800795","Inflammatory Response","Increases","Strong"
"rs1800795","Immune Activity","Modulates","Strong"
"rs361525","Inflammatory Response","Increases","Strong"
"rs361525","Immune Activity","Modulates","Strong"
"rs1800629","Inflammatory Response","Increases","Strong"
"rs1800629","Immune Activity","Modulates","Strong"
"rs13181","DNA Repair Capacity","Modulates","Moderate"
"rs1799750","Collagen Production","Modulates","Moderate"
"rs1799750","Elastin Quality","Modulates","Moderate"
"rs1800012","Collagen Production","Modulates","Moderate"
"rs1800012","Elastin Quality","Modulates","Moderate"
"rs4880","Antioxidant Capacity","Modulates","Moderate"
"rs1001179","Antioxidant Capacity","Modulates","Moderate"
"rs743572","Sebum Production","Modulates","Weak"
"rs2234693","Collagen Production","Modulates","Weak"
"rs2234693","Hydration Level","Modulates","Weak"
"rs73341169","Product Sensitivity","Modulates","Weak"
"rs2068888","Product Sensitivity","Modulates","Weak"
"rs1799983","Vascular Reactivity","Modulates","Weak"
"rs1799983","Microcirculation","Modulates","Weak"
"rs1801260","Circadian Rhythm Response","Modulates","Weak"