snp_id,characteristic_id,effect_direction,evidence_strength
101,61,Modulates,Strong
101,62,Modulates,Strong
102,61,Modulates,Strong
102,62,Modulates,Strong
103,61,Modulates,Strong
104,61,Modulates,Strong
106,66,Modulates,Strong
107,66,Modulates,Strong
108,66,Modulates,Strong
109,70,Modulates,Moderate
110,67,Modulates,Moderate
110,68,Modulates,Moderate
111,67,Modulates,Moderate
111,68,Modulates,Moderate
112,69,Modulates,Moderate
113,69,Modulates,Moderate
114,73,Modulates,Weak
115,64,Modulates,Weak
115,67,Modulates,Weak
116,74,Modulates,Weak
117,74,Modulates,Weak
119,71,Modulates,Weak
119,72,Modulates,Weak
120,75,Modulates,Weak
105,63,Decreases,Strong
105,64,Decreases,Strong
106,65,Increases,Strong
107,65,Increases,Strong
108,65,Increases,Strong